libusea,libuseb,sex,age,par,inc,live,books
N,N,male,77,no,,A rural area,0
Y,N,male,51,yes,75-under 150,A small city or town,20
N,N,female,50,no,under 30,A suburb near a large city,0
Y,N,female,67,no,30-under 75,A rural area,50
Y,N,female,45,yes,150+,A small city or town,5
Y,N,male,23,no,under 30,A small city or town,30
Y,Y,male,48,no,under 30,A small city or town,1
N,N,female,58,no,75-under 150,A small city or town,2
Y,N,male,19,no,150+,A large city,30
Y,N,male,72,no,75-under 150,A large city,
N,,male,35,yes,30-under 75,A rural area,5
N,N,male,67,no,30-under 75,A small city or town,0
Y,N,male,60,no,under 30,A large city,4
Y,N,female,70,no,30-under 75,A suburb near a large city,1
Y,N,male,18,no,30-under 75,A large city,20
N,,male,27,no,75-under 150,A rural area,0
N,N,male,45,no,under 30,A large city,5
N,N,female,56,yes,30-under 75,A rural area,2
N,N,male,54,no,under 30,A large city,0
Y,Y,female,32,yes,75-under 150,A large city,20
N,N,male,59,no,75-under 150,A suburb near a large city,10
Y,N,male,17,no,30-under 75,A small city or town,50
N,N,male,41,no,30-under 75,A rural area,0
Y,Y,female,57,no,under 30,A large city,4
N,N,male,62,no,30-under 75,A rural area,0
Y,N,male,53,no,30-under 75,A small city or town,1
N,N,male,23,no,under 30,A small city or town,12
N,N,male,27,yes,under 30,A small city or town,1
Y,Y,male,19,no,30-under 75,A small city or town,4
N,N,female,35,no,75-under 150,A small city or town,2
Y,Y,female,39,yes,150+,A small city or town,2
N,N,male,55,no,75-under 150,A large city,0
N,N,male,52,no,75-under 150,A small city or town,0
N,N,female,58,no,75-under 150,A suburb near a large city,4
Y,Y,female,74,no,30-under 75,A large city,50
N,N,male,60,no,75-under 150,A large city,2
Y,Y,female,59,no,30-under 75,A small city or town,50
N,N,male,50,yes,150+,A rural area,4
Y,N,female,62,no,under 30,A small city or town,0
Y,N,male,16,no,30-under 75,A rural area,5
N,N,male,18,yes,under 30,A large city,10
Y,N,male,17,no,150+,A suburb near a large city,3
Y,Y,male,43,yes,150+,A large city,8
N,N,male,63,no,,A small city or town,0
N,N,male,51,no,under 30,A rural area,0
Y,N,male,58,no,150+,A suburb near a large city,
N,N,male,36,yes,30-under 75,A small city or town,0
Y,N,female,52,no,under 30,A small city or town,2
Y,Y,male,67,no,30-under 75,A suburb near a large city,36
N,N,male,58,no,30-under 75,A rural area,2
N,N,male,51,no,75-under 150,A rural area,5
N,N,male,,no,30-under 75,A rural area,0
Y,N,female,25,yes,under 30,A suburb near a large city,20
N,N,male,64,no,75-under 150,A suburb near a large city,25
N,N,female,74,no,,A suburb near a large city,5
Y,Y,female,24,no,under 30,A small city or town,6
Y,Y,male,40,yes,75-under 150,A suburb near a large city,4
Y,N,female,54,no,30-under 75,A suburb near a large city,3
N,N,female,42,no,30-under 75,A large city,30
Y,Y,female,22,no,75-under 150,A suburb near a large city,6
Y,Y,male,70,no,30-under 75,A suburb near a large city,0
N,N,male,33,yes,75-under 150,A suburb near a large city,2
N,N,male,25,no,30-under 75,A small city or town,1
N,N,male,46,yes,30-under 75,A suburb near a large city,4
N,N,female,64,no,,A rural area,5
N,Y,female,18,no,75-under 150,A suburb near a large city,10
N,N,male,26,no,30-under 75,A large city,0
Y,Y,female,19,no,150+,A small city or town,1
Y,Y,male,54,no,75-under 150,A large city,3
Y,N,male,18,no,30-under 75,A suburb near a large city,20
N,N,male,60,no,150+,A small city or town,30
N,N,male,42,yes,75-under 150,A small city or town,1
N,N,female,32,no,30-under 75,A small city or town,0
N,N,female,39,yes,30-under 75,A small city or town,0
Y,Y,female,40,yes,30-under 75,A small city or town,36
Y,N,female,66,no,,A small city or town,8
N,N,female,56,no,30-under 75,A large city,2
Y,N,female,80,no,30-under 75,A small city or town,6
N,N,female,28,yes,,A small city or town,
N,N,female,88,no,30-under 75,A suburb near a large city,3
Y,N,male,28,yes,under 30,A large city,2
N,N,male,37,yes,75-under 150,A large city,1
N,N,male,50,yes,under 30,A large city,0
Y,N,female,17,no,30-under 75,A large city,3
Y,Y,female,48,yes,30-under 75,A small city or town,3
N,N,male,27,no,75-under 150,A suburb near a large city,0
N,N,male,68,no,75-under 150,A large city,5
Y,N,male,40,yes,75-under 150,A suburb near a large city,5
N,N,female,22,yes,under 30,A large city,1
Y,Y,female,,,,A small city or town,50
N,N,male,17,yes,30-under 75,A suburb near a large city,0
Y,N,male,,,,A large city,15
Y,Y,female,23,no,under 30,A large city,30
Y,N,male,57,no,30-under 75,A rural area,
N,N,male,32,no,30-under 75,A small city or town,0
N,N,female,58,no,30-under 75,A large city,1
N,N,female,69,no,30-under 75,A small city or town,3
N,N,male,50,yes,150+,A small city or town,0
Y,N,male,34,no,under 30,A small city or town,12
N,N,female,24,no,75-under 150,A small city or town,10
Y,N,male,38,no,under 30,A suburb near a large city,1
N,N,male,51,no,30-under 75,A large city,4
N,N,male,61,no,,A suburb near a large city,15
N,N,male,35,yes,30-under 75,A rural area,0
N,N,male,64,no,30-under 75,A small city or town,12
Y,Y,male,24,no,75-under 150,A small city or town,60
N,N,male,65,yes,30-under 75,A rural area,6
N,N,male,23,yes,under 30,A large city,
N,Y,female,30,yes,30-under 75,A small city or town,25
Y,Y,male,42,yes,150+,A suburb near a large city,10
Y,N,male,44,no,,A large city,0
Y,Y,male,72,no,75-under 150,A suburb near a large city,1
Y,N,female,69,no,75-under 150,A small city or town,50
Y,Y,female,28,no,30-under 75,A large city,30
Y,Y,female,46,no,under 30,A small city or town,5
N,N,male,47,yes,75-under 150,A small city or town,0
Y,Y,female,24,yes,under 30,A small city or town,7
N,N,male,40,no,150+,A small city or town,3
Y,N,male,31,yes,under 30,A small city or town,10
N,N,male,61,no,under 30,A large city,2
N,N,female,46,no,under 30,A small city or town,0
Y,Y,female,21,no,30-under 75,A small city or town,15
N,N,male,51,no,150+,A suburb near a large city,4
N,N,male,18,no,30-under 75,A suburb near a large city,10
N,N,female,41,yes,75-under 150,A small city or town,0
N,N,female,60,no,under 30,A suburb near a large city,6
Y,Y,male,25,no,under 30,A suburb near a large city,20
Y,N,male,16,no,75-under 150,A small city or town,2
Y,Y,male,40,yes,30-under 75,A small city or town,
Y,Y,female,58,no,150+,A rural area,
Y,Y,female,40,yes,150+,A suburb near a large city,12
Y,Y,female,65,no,30-under 75,A suburb near a large city,
Y,N,female,53,no,30-under 75,A suburb near a large city,7
Y,N,female,62,no,30-under 75,A large city,10
Y,Y,female,48,yes,75-under 150,A suburb near a large city,52
Y,Y,male,60,yes,75-under 150,A rural area,15
N,N,female,31,no,75-under 150,A rural area,0
N,N,female,47,yes,75-under 150,A small city or town,4
Y,Y,male,45,no,30-under 75,A suburb near a large city,20
N,N,male,58,no,30-under 75,A small city or town,0
Y,Y,female,51,no,,A rural area,50
Y,N,male,26,yes,30-under 75,A rural area,45
Y,,female,72,no,under 30,A large city,0
Y,Y,male,64,no,,A rural area,
N,Y,male,18,no,,A rural area,4
N,N,male,33,no,30-under 75,A large city,30
Y,N,female,17,no,75-under 150,A large city,6
Y,N,female,62,no,under 30,A suburb near a large city,5
N,N,female,62,no,,A large city,0
Y,N,male,44,yes,150+,A suburb near a large city,3
Y,Y,female,44,yes,30-under 75,A suburb near a large city,50
N,Y,female,52,no,,A rural area,12
Y,Y,male,64,no,75-under 150,A suburb near a large city,25
Y,Y,female,55,no,30-under 75,A suburb near a large city,30
Y,N,male,45,yes,75-under 150,A suburb near a large city,0
N,N,male,16,no,75-under 150,A rural area,2
N,N,male,52,yes,75-under 150,A suburb near a large city,2
Y,N,male,23,no,75-under 150,A small city or town,50
N,N,male,48,no,30-under 75,A small city or town,0
Y,Y,female,45,yes,150+,A small city or town,10
N,N,male,63,no,under 30,A small city or town,0
N,N,female,66,no,150+,A large city,8
Y,N,male,67,no,30-under 75,A small city or town,4
Y,Y,female,30,no,150+,A large city,2
N,N,male,23,no,75-under 150,A suburb near a large city,1
N,N,male,18,no,150+,A rural area,3
N,N,male,60,no,75-under 150,A small city or town,0
N,N,male,66,no,under 30,A small city or town,1
Y,N,male,59,no,under 30,A large city,0
N,Y,male,79,no,75-under 150,A suburb near a large city,7
N,Y,female,54,yes,150+,A small city or town,5
Y,N,female,23,no,150+,A large city,15
N,N,male,29,yes,30-under 75,A large city,2
Y,N,female,20,yes,,A small city or town,5
Y,N,male,26,no,30-under 75,A suburb near a large city,15
Y,N,male,20,no,150+,A large city,12
N,N,female,45,yes,30-under 75,A small city or town,0
Y,Y,male,34,yes,150+,A suburb near a large city,7
N,N,female,33,yes,,,10
N,N,male,23,no,30-under 75,A rural area,5
N,N,female,60,no,under 30,A large city,0
Y,N,male,54,no,75-under 150,A large city,6
N,N,male,85,no,30-under 75,A large city,1
N,N,female,50,no,under 30,A small city or town,0
Y,Y,male,22,no,75-under 150,A small city or town,4
N,N,male,58,no,150+,A rural area,1
N,N,female,16,yes,,A large city,20
Y,N,female,49,no,under 30,A small city or town,0
Y,N,male,53,no,under 30,A rural area,7
N,N,female,61,no,under 30,A rural area,6
Y,Y,female,55,no,150+,A large city,2
Y,N,female,55,no,under 30,A large city,10
N,N,male,47,no,under 30,A small city or town,15
N,N,male,68,no,75-under 150,A small city or town,2
N,N,male,51,yes,under 30,A small city or town,0
Y,N,male,20,no,30-under 75,A small city or town,6
Y,N,male,58,no,30-under 75,A rural area,1
N,N,male,40,no,under 30,A small city or town,0
N,N,male,37,yes,under 30,A large city,5
N,N,female,27,no,30-under 75,A rural area,2
Y,N,male,21,no,150+,A suburb near a large city,0
Y,N,male,29,yes,under 30,A small city or town,3
Y,Y,male,70,no,150+,A suburb near a large city,96
N,N,male,59,no,30-under 75,A rural area,0
Y,N,male,61,yes,30-under 75,A suburb near a large city,0
Y,Y,male,41,yes,,A suburb near a large city,12
N,N,male,27,yes,30-under 75,A large city,4
Y,Y,male,29,yes,30-under 75,A small city or town,4
Y,N,female,60,no,under 30,A rural area,0
Y,N,male,30,no,30-under 75,A suburb near a large city,17
N,N,male,67,no,under 30,A rural area,0
Y,N,female,58,no,under 30,A large city,1
Y,Y,female,54,yes,75-under 150,A suburb near a large city,30
Y,Y,female,64,no,150+,A suburb near a large city,12
Y,Y,female,56,yes,150+,A large city,10
N,N,male,52,yes,75-under 150,A suburb near a large city,2
Y,N,female,31,yes,under 30,A small city or town,1
N,N,male,79,no,30-under 75,A large city,2
Y,N,female,46,no,under 30,A large city,10
N,N,male,60,no,150+,A small city or town,2
N,N,female,34,no,,A small city or town,1
Y,N,male,48,no,under 30,A small city or town,7
N,N,male,57,no,75-under 150,A large city,0
Y,Y,female,63,no,30-under 75,A rural area,12
Y,N,female,30,yes,75-under 150,A rural area,15
N,N,male,24,no,75-under 150,A suburb near a large city,0
Y,N,male,30,yes,30-under 75,A large city,26
Y,Y,male,53,yes,,A small city or town,15
Y,N,male,40,yes,75-under 150,A rural area,14
Y,N,male,22,no,under 30,A suburb near a large city,1
Y,N,female,34,yes,30-under 75,A small city or town,50
N,N,male,21,no,under 30,A small city or town,0
N,N,female,38,yes,under 30,A large city,0
N,N,male,53,yes,,A small city or town,3
N,N,female,69,no,30-under 75,A small city or town,5
N,N,male,51,yes,under 30,A large city,2
Y,N,female,46,yes,150+,A small city or town,8
N,N,female,30,yes,75-under 150,A large city,12
N,Y,female,35,yes,75-under 150,A rural area,6
N,N,male,58,no,75-under 150,A large city,2
N,Y,male,62,no,,A suburb near a large city,6
N,N,male,59,no,under 30,A small city or town,1
Y,Y,female,49,yes,75-under 150,A small city or town,5
N,N,female,68,no,30-under 75,A rural area,
Y,Y,female,57,no,under 30,A small city or town,20
Y,Y,female,16,no,75-under 150,A suburb near a large city,45
Y,Y,female,47,yes,,A suburb near a large city,12
Y,N,male,58,no,under 30,A large city,2
Y,N,female,52,no,150+,A large city,10
N,N,female,61,no,75-under 150,A small city or town,2
Y,Y,female,23,no,,A large city,12
Y,Y,male,20,no,30-under 75,A large city,15
N,N,male,46,yes,150+,A suburb near a large city,2
Y,N,female,72,no,30-under 75,A rural area,25
N,N,female,59,no,30-under 75,A rural area,0
N,N,male,24,no,75-under 150,A suburb near a large city,12
Y,N,female,63,no,75-under 150,A small city or town,4
Y,Y,female,62,no,75-under 150,A small city or town,4
Y,Y,female,71,no,under 30,A small city or town,
Y,Y,female,36,no,150+,A large city,50
Y,N,male,21,no,75-under 150,A small city or town,3
Y,Y,female,38,yes,30-under 75,A suburb near a large city,
N,N,male,37,no,under 30,A rural area,0
Y,Y,female,51,no,30-under 75,A rural area,24
N,N,male,26,yes,under 30,A large city,0
N,Y,female,30,yes,30-under 75,A small city or town,20
Y,Y,female,19,no,30-under 75,A small city or town,50
N,Y,male,17,no,,A rural area,2
N,N,male,24,no,30-under 75,A large city,7
Y,Y,male,23,no,30-under 75,A small city or town,2
Y,N,female,19,no,150+,A small city or town,2
N,N,male,42,no,under 30,A small city or town,0
N,N,female,53,no,under 30,A small city or town,0
Y,N,male,66,no,75-under 150,A small city or town,8
Y,N,male,52,yes,75-under 150,A large city,0
Y,Y,male,43,yes,75-under 150,A small city or town,6
Y,Y,female,49,no,under 30,A rural area,
Y,Y,female,67,no,75-under 150,A small city or town,5
Y,N,male,58,no,,A rural area,0
Y,Y,female,35,yes,75-under 150,A small city or town,12
Y,N,female,45,yes,under 30,A large city,24
Y,N,male,17,no,,A suburb near a large city,11
Y,N,female,26,no,under 30,A large city,8
Y,N,male,54,no,under 30,A rural area,15
N,N,male,48,no,under 30,A small city or town,0
N,N,male,69,no,75-under 150,A rural area,6
N,N,male,55,no,under 30,A small city or town,4
N,N,female,31,no,75-under 150,A suburb near a large city,6
Y,N,male,49,yes,75-under 150,A small city or town,2
Y,N,female,41,yes,under 30,A large city,4
Y,N,male,75,no,150+,A small city or town,1
N,Y,female,35,yes,under 30,A small city or town,4
N,N,male,67,no,30-under 75,A large city,0
Y,Y,female,70,no,75-under 150,A small city or town,50
N,N,male,50,yes,under 30,A small city or town,0
Y,N,male,59,no,under 30,A large city,10
N,N,male,62,yes,,A large city,0
N,N,male,52,no,30-under 75,A rural area,0
Y,N,male,24,no,30-under 75,A large city,6
N,N,male,30,no,,A small city or town,1
Y,Y,female,21,no,30-under 75,A suburb near a large city,25
N,N,female,47,yes,150+,A suburb near a large city,
N,N,male,76,no,150+,A rural area,0
Y,Y,female,41,yes,30-under 75,A suburb near a large city,3
Y,N,male,58,no,75-under 150,A large city,25
N,Y,female,19,yes,30-under 75,,0
Y,Y,male,49,yes,30-under 75,A small city or town,
Y,N,male,89,no,30-under 75,A suburb near a large city,4
Y,N,male,51,yes,150+,A large city,5
N,N,female,62,no,75-under 150,A suburb near a large city,25
N,N,male,75,no,75-under 150,A rural area,1
N,N,female,42,no,75-under 150,A large city,3
Y,N,female,49,yes,under 30,A small city or town,2
N,N,female,54,no,,,0
N,N,male,73,no,under 30,A rural area,0
N,N,female,60,no,under 30,A small city or town,1
N,N,female,71,no,30-under 75,A rural area,0
Y,Y,male,28,no,30-under 75,A suburb near a large city,20
Y,Y,female,18,no,30-under 75,A small city or town,4
N,N,male,55,yes,75-under 150,A suburb near a large city,3
N,N,male,55,no,150+,A suburb near a large city,5
N,N,male,30,no,,A small city or town,0
N,Y,female,20,no,75-under 150,A small city or town,0
Y,N,female,60,no,75-under 150,A rural area,20
N,N,male,54,no,30-under 75,A rural area,2
Y,Y,female,24,no,30-under 75,A suburb near a large city,3
Y,N,male,17,no,150+,A large city,
Y,N,female,80,no,30-under 75,A small city or town,0
N,N,female,33,no,under 30,A small city or town,0
Y,Y,male,68,no,75-under 150,A suburb near a large city,25
Y,N,male,59,no,75-under 150,A small city or town,5
N,N,male,58,no,30-under 75,A large city,1
N,N,male,77,no,under 30,A rural area,15
Y,N,female,21,yes,under 30,A suburb near a large city,7
N,N,female,19,no,under 30,A suburb near a large city,0
Y,N,male,46,no,30-under 75,A suburb near a large city,0
Y,Y,male,62,no,75-under 150,A rural area,15
N,N,female,34,yes,30-under 75,A large city,0
N,N,female,57,no,under 30,A large city,0
N,N,male,67,no,,A small city or town,12
Y,Y,female,40,yes,75-under 150,A small city or town,50
Y,Y,female,23,yes,30-under 75,A large city,40
Y,N,female,16,no,,A small city or town,
N,N,male,30,no,75-under 150,A large city,7
Y,Y,female,22,no,under 30,A suburb near a large city,5
Y,N,male,48,no,75-under 150,A suburb near a large city,10
N,N,male,22,no,,A suburb near a large city,4
Y,Y,female,59,no,30-under 75,A large city,6
Y,N,male,54,no,75-under 150,A suburb near a large city,3
N,N,female,55,no,under 30,A suburb near a large city,1
N,N,male,36,yes,75-under 150,A rural area,0
Y,Y,female,68,no,75-under 150,A large city,2
N,N,female,84,no,,A suburb near a large city,0
N,Y,male,66,no,75-under 150,A small city or town,12
N,N,male,21,no,under 30,A small city or town,8
N,N,male,63,no,under 30,A large city,0
N,N,male,60,no,30-under 75,A suburb near a large city,0
N,N,male,44,no,75-under 150,A large city,3
N,N,male,57,no,under 30,A large city,30
Y,Y,female,30,no,30-under 75,A large city,30
N,N,male,52,no,30-under 75,A rural area,1
Y,N,female,71,no,under 30,A large city,1
N,N,female,26,yes,30-under 75,A small city or town,0
N,N,male,39,no,30-under 75,A large city,10
N,N,male,36,yes,75-under 150,A small city or town,0
Y,Y,male,20,no,30-under 75,A small city or town,1
N,N,male,39,yes,30-under 75,A small city or town,1
Y,Y,male,34,yes,under 30,A large city,5
Y,Y,male,39,yes,150+,A small city or town,5
Y,N,female,21,no,30-under 75,A large city,4
Y,N,female,22,yes,under 30,A small city or town,2
Y,Y,male,64,no,,A large city,25
N,N,female,42,no,under 30,A large city,1
Y,Y,female,53,no,under 30,A small city or town,5
Y,N,female,67,no,75-under 150,A small city or town,
N,N,male,77,no,30-under 75,A suburb near a large city,0
N,N,female,30,no,75-under 150,A suburb near a large city,0
Y,Y,male,47,yes,75-under 150,A suburb near a large city,6
Y,Y,female,61,no,75-under 150,A suburb near a large city,3
N,N,male,36,yes,under 30,A small city or town,0
N,N,female,53,no,under 30,A large city,4
Y,Y,male,36,yes,75-under 150,A large city,15
Y,Y,female,20,no,under 30,A small city or town,
Y,Y,female,20,no,under 30,A small city or town,30
N,N,male,23,no,30-under 75,A small city or town,15
N,N,male,21,no,under 30,A small city or town,10
Y,N,male,85,no,75-under 150,A rural area,50
N,N,female,55,no,under 30,A small city or town,50
N,N,male,56,no,30-under 75,A suburb near a large city,2
Y,N,female,61,no,under 30,A small city or town,7
Y,N,female,27,no,under 30,A small city or town,0
Y,N,female,38,yes,75-under 150,A small city or town,20
N,N,male,49,no,30-under 75,A rural area,0
N,N,male,48,no,under 30,A small city or town,0
N,N,male,47,no,30-under 75,A suburb near a large city,15
N,N,female,44,no,150+,A suburb near a large city,0
Y,Y,male,32,yes,30-under 75,A large city,9
Y,N,male,68,no,150+,A small city or town,30
N,N,female,55,no,75-under 150,A small city or town,3
Y,N,male,,no,75-under 150,A small city or town,50
N,N,male,77,no,under 30,A small city or town,0
N,N,female,63,no,30-under 75,A suburb near a large city,30
N,N,female,21,no,under 30,A rural area,0
N,Y,female,68,no,30-under 75,A suburb near a large city,
N,N,male,18,no,under 30,A small city or town,0
Y,N,male,40,yes,150+,A suburb near a large city,50
N,N,male,72,no,30-under 75,A large city,50
N,Y,male,28,no,under 30,A small city or town,3
N,Y,female,36,yes,30-under 75,A small city or town,15
N,Y,female,62,no,75-under 150,A small city or town,3
N,N,male,25,no,,A rural area,1
Y,Y,female,42,yes,,A large city,4
Y,N,female,47,no,under 30,A small city or town,2
N,N,male,61,no,30-under 75,A rural area,0
N,N,female,63,no,30-under 75,A small city or town,
N,N,male,89,no,30-under 75,A small city or town,1
N,N,male,25,no,75-under 150,A suburb near a large city,3
N,N,male,62,no,under 30,A small city or town,1
Y,Y,female,38,yes,30-under 75,A rural area,50
N,N,male,25,no,under 30,A suburb near a large city,3
Y,N,female,75,no,75-under 150,A rural area,10
N,N,male,55,yes,150+,A suburb near a large city,5
N,N,female,63,no,under 30,A large city,4
N,N,male,,no,,A small city or town,1
N,N,male,58,no,75-under 150,A small city or town,0
N,N,male,63,no,30-under 75,A large city,0
Y,N,male,16,no,under 30,A large city,3
N,N,female,51,no,30-under 75,A small city or town,60
N,N,female,52,no,under 30,A small city or town,0
N,N,female,60,no,under 30,A rural area,12
N,N,female,55,no,75-under 150,A rural area,2
N,N,female,75,no,30-under 75,A rural area,2
Y,Y,female,78,no,30-under 75,A small city or town,
Y,Y,female,54,yes,under 30,A large city,29
Y,Y,male,18,no,under 30,A small city or town,5
N,N,male,43,no,under 30,A small city or town,0
Y,Y,male,66,no,75-under 150,A suburb near a large city,20
N,N,female,62,no,30-under 75,A large city,20
N,N,female,73,no,30-under 75,A large city,0
Y,N,male,55,yes,30-under 75,A small city or town,25
N,N,male,57,yes,under 30,A large city,
Y,Y,male,55,no,150+,A small city or town,30
Y,Y,male,24,no,75-under 150,A suburb near a large city,5
N,N,female,25,no,30-under 75,A small city or town,10
Y,N,male,61,no,150+,A large city,3
N,N,male,56,no,75-under 150,A small city or town,4
N,N,male,24,no,30-under 75,A suburb near a large city,0
N,N,female,17,no,30-under 75,A small city or town,4
Y,N,female,53,no,30-under 75,A small city or town,10
N,N,female,55,no,,A large city,4
N,N,male,16,no,,A large city,3
N,N,male,34,no,30-under 75,A small city or town,0
Y,N,female,22,no,30-under 75,A small city or town,11
N,N,male,66,no,30-under 75,A large city,12
N,N,male,63,no,under 30,A suburb near a large city,
Y,N,male,60,no,under 30,A small city or town,1
N,N,female,21,yes,under 30,A small city or town,0
N,N,male,21,no,75-under 150,A small city or town,1
Y,N,female,67,no,under 30,A small city or town,2
Y,N,female,45,yes,,A small city or town,30
N,N,male,38,yes,30-under 75,A large city,5
Y,N,male,54,no,under 30,A small city or town,
N,N,male,65,no,75-under 150,A suburb near a large city,0
N,N,male,29,no,150+,A suburb near a large city,2
N,N,female,18,no,75-under 150,A small city or town,5
Y,N,male,31,yes,under 30,A rural area,4
Y,N,male,,no,,A suburb near a large city,13
Y,N,female,54,no,75-under 150,A large city,0
N,N,male,53,no,30-under 75,A rural area,0
N,N,male,55,yes,30-under 75,A rural area,0
Y,N,male,65,no,75-under 150,A suburb near a large city,15
N,N,male,36,yes,30-under 75,A small city or town,
N,N,female,17,yes,under 30,A suburb near a large city,6
Y,N,male,62,no,under 30,A rural area,3
Y,Y,male,42,yes,75-under 150,A small city or town,50
N,N,male,31,no,30-under 75,A suburb near a large city,2
N,N,male,37,no,30-under 75,A suburb near a large city,0
Y,N,female,54,no,75-under 150,A small city or town,10
Y,Y,female,37,yes,30-under 75,A large city,0
Y,N,female,26,no,30-under 75,A large city,30
Y,N,female,64,no,under 30,A small city or town,6
Y,Y,male,74,no,30-under 75,A rural area,4
N,N,male,17,no,75-under 150,A suburb near a large city,1
Y,Y,female,21,no,150+,A large city,3
Y,N,male,27,no,75-under 150,A large city,17
Y,Y,male,63,no,75-under 150,A rural area,3
N,N,male,54,no,under 30,A small city or town,1
N,,male,39,no,under 30,A large city,
Y,Y,male,32,no,30-under 75,A suburb near a large city,12
Y,Y,male,43,yes,,A small city or town,15
Y,Y,female,45,yes,under 30,A small city or town,0
N,Y,female,22,no,under 30,A suburb near a large city,3
Y,Y,male,27,no,30-under 75,A large city,30
N,N,male,34,no,30-under 75,A suburb near a large city,3
N,N,male,16,no,under 30,A rural area,1
Y,Y,male,45,yes,75-under 150,A small city or town,6
Y,Y,female,24,no,under 30,A large city,75
N,N,male,59,no,30-under 75,A suburb near a large city,0
N,N,male,75,no,under 30,A small city or town,0
N,N,male,54,no,75-under 150,A suburb near a large city,3
Y,N,female,25,yes,30-under 75,A small city or town,
Y,N,male,36,yes,30-under 75,A small city or town,0
N,N,male,23,no,75-under 150,A small city or town,20
N,N,female,18,no,,A small city or town,1
N,N,male,26,no,30-under 75,A small city or town,0
Y,Y,male,63,no,30-under 75,A large city,60
Y,N,male,19,no,30-under 75,A large city,5
Y,Y,female,22,no,under 30,A large city,50
N,Y,male,32,no,75-under 150,A large city,2
N,N,male,66,no,under 30,A small city or town,0
N,N,male,50,no,150+,A small city or town,0
N,N,female,63,no,30-under 75,A small city or town,7
N,N,male,24,no,75-under 150,A suburb near a large city,15
N,N,female,66,no,150+,A small city or town,7
N,N,female,35,no,under 30,A suburb near a large city,0
N,N,male,46,yes,150+,A suburb near a large city,5
Y,N,male,24,no,150+,A small city or town,50
N,N,male,42,no,75-under 150,A rural area,1
Y,N,male,25,yes,30-under 75,A suburb near a large city,0
N,N,female,72,no,30-under 75,A small city or town,1
Y,Y,female,46,yes,150+,A suburb near a large city,
Y,Y,male,51,no,30-under 75,A small city or town,4
Y,N,female,49,yes,under 30,A small city or town,0
Y,Y,female,73,no,30-under 75,A small city or town,60
N,N,male,74,no,30-under 75,A small city or town,0
N,N,male,25,no,under 30,A small city or town,1
N,N,male,61,no,under 30,A large city,2
Y,N,male,62,no,30-under 75,A rural area,6
N,N,male,27,yes,75-under 150,A small city or town,10
N,N,male,71,no,75-under 150,A rural area,5
Y,Y,female,44,yes,under 30,A large city,3
Y,Y,male,16,no,under 30,A large city,5
Y,Y,female,37,yes,75-under 150,A suburb near a large city,20
N,N,male,49,yes,,A small city or town,0
N,N,male,45,no,150+,A large city,0
N,N,female,76,no,under 30,A small city or town,25
Y,N,female,59,no,under 30,A small city or town,
N,N,male,23,no,30-under 75,A rural area,1
Y,Y,female,49,yes,30-under 75,A small city or town,15
Y,N,female,17,no,,A small city or town,5
N,N,female,69,no,,A small city or town,3
Y,Y,female,19,no,,A suburb near a large city,10
N,N,female,37,yes,75-under 150,A small city or town,
Y,N,female,31,yes,30-under 75,A small city or town,6
Y,N,male,52,no,30-under 75,A suburb near a large city,20
Y,N,female,42,no,30-under 75,A suburb near a large city,12
Y,Y,female,52,no,30-under 75,A large city,12
N,N,male,34,yes,30-under 75,A large city,0
Y,Y,male,55,no,30-under 75,A small city or town,5
Y,N,male,67,no,75-under 150,A small city or town,
N,N,male,27,no,75-under 150,A large city,10
Y,Y,female,40,no,30-under 75,A large city,2
Y,Y,male,50,yes,,A large city,3
N,N,female,79,no,30-under 75,A large city,0
Y,Y,male,57,no,30-under 75,A suburb near a large city,30
N,N,male,66,yes,,A large city,0
Y,N,female,59,no,150+,A small city or town,4
Y,Y,female,54,yes,under 30,A small city or town,5
Y,Y,female,22,no,under 30,A large city,30
N,N,male,23,no,under 30,A small city or town,0
Y,Y,male,31,no,75-under 150,A small city or town,30
Y,N,female,68,no,under 30,A large city,
Y,Y,female,60,no,75-under 150,A small city or town,5
Y,Y,male,,,,A small city or town,10
N,N,male,26,no,30-under 75,A small city or town,1
N,N,male,70,no,75-under 150,A rural area,0
Y,Y,male,20,no,30-under 75,A suburb near a large city,2
N,N,male,73,no,,A large city,0
Y,Y,female,70,no,75-under 150,A small city or town,40
Y,N,female,65,no,,,3
N,N,male,38,no,under 30,A rural area,0
N,N,female,51,no,30-under 75,A large city,3
N,N,female,32,no,under 30,A large city,5
Y,N,male,26,no,30-under 75,A suburb near a large city,3
N,N,male,32,yes,under 30,A small city or town,0
N,N,male,67,no,150+,A small city or town,0
N,N,female,48,yes,30-under 75,A large city,40
N,N,male,31,yes,30-under 75,A small city or town,6
N,N,male,44,no,under 30,A small city or town,
N,N,female,59,no,30-under 75,A small city or town,12
Y,Y,female,54,no,under 30,A large city,
Y,N,male,30,yes,75-under 150,A suburb near a large city,3
N,N,male,20,no,30-under 75,A small city or town,0
Y,Y,male,66,no,75-under 150,A large city,15
Y,Y,male,16,no,30-under 75,A small city or town,12
Y,N,female,42,no,75-under 150,A suburb near a large city,5
Y,N,male,58,no,,A small city or town,0
Y,Y,female,45,yes,75-under 150,A suburb near a large city,38
Y,Y,male,31,no,under 30,A small city or town,5
Y,Y,male,50,yes,30-under 75,A large city,2
N,N,male,32,no,150+,A large city,50
