libusea,libuseb,sex,age,par,inc,live,books
Y,Y,female,52,no,under 30,A small city or town,3
N,N,female,67,no,30-under 75,A large city,0
N,N,female,87,no,,,0
Y,Y,male,19,no,30-under 75,A small city or town,5
Y,N,male,56,no,150+,A small city or town,5
N,N,female,60,no,,,1
N,N,male,,,,A small city or town,0
Y,N,female,86,no,,A small city or town,
N,N,female,58,yes,75-under 150,A large city,8
N,N,male,64,no,,A rural area,1
N,N,male,63,no,150+,A large city,2
N,N,female,53,yes,30-under 75,A small city or town,1
N,N,female,49,yes,under 30,A rural area,0
N,N,female,70,no,under 30,A rural area,3
N,N,male,72,no,150+,A small city or town,25
N,N,female,58,no,,A small city or town,0
Y,Y,male,40,yes,30-under 75,A rural area,15
Y,Y,female,72,no,,A rural area,40
N,N,male,68,no,,A small city or town,3
Y,N,male,,no,under 30,A large city,3
N,Y,male,77,no,30-under 75,A suburb near a large city,0
N,Y,female,65,no,30-under 75,A rural area,5
N,N,male,62,no,75-under 150,A small city or town,0
N,N,male,60,no,30-under 75,A rural area,0
N,N,male,42,yes,75-under 150,A suburb near a large city,0
N,N,female,80,no,under 30,A small city or town,0
N,N,male,63,no,75-under 150,A rural area,5
N,Y,female,46,yes,75-under 150,A large city,5
N,N,female,33,yes,30-under 75,A rural area,0
N,N,male,59,no,under 30,A large city,0
N,N,male,63,no,under 30,A rural area,0
N,N,male,45,yes,30-under 75,A small city or town,3
Y,Y,female,67,no,,A suburb near a large city,8
N,N,female,75,no,30-under 75,A rural area,7
N,Y,male,59,no,75-under 150,A rural area,4
Y,N,female,42,yes,30-under 75,A large city,10
Y,N,male,57,no,,A rural area,0
Y,N,female,75,no,30-under 75,A rural area,5
N,N,female,59,no,under 30,A rural area,20
N,N,male,30,yes,under 30,A suburb near a large city,0
N,N,female,,no,75-under 150,A large city,52
N,N,female,83,no,30-under 75,A rural area,10
N,N,male,67,no,under 30,A suburb near a large city,1
N,N,female,73,no,under 30,A suburb near a large city,10
N,N,male,37,no,30-under 75,A suburb near a large city,1
